id,url,species,breed_primary,breed_mixed,color_primary,age,sex,size,coat,fixed,house_trained,shots_current,name,contact_city,contact_state,contact_zip
46038097,https://www.petfinder.com/dog/lola-46038097/nj/butler/tri-boro-animal-welfare-nj08/?referrer_id=87b31e7d-4508-41d1-95ff-fdb59b9d4669,Dog,Beagle,TRUE,"Tricolor (Brown, Black, & White)",Baby,Female,Medium,Short,FALSE,FALSE,TRUE,Lola,Butler,NJ,7405
46038089,https://www.petfinder.com/dog/stella-46038089/nj/butler/tri-boro-animal-welfare-nj08/?referrer_id=87b31e7d-4508-41d1-95ff-fdb59b9d4669,Dog,Beagle,TRUE,Merle (Red),Baby,Female,Medium,Short,FALSE,FALSE,TRUE,Stella,Butler,NJ,7405
46036860,https://www.petfinder.com/dog/lady-bugette-46036860/nj/belleville/friends-with-four-paws-ok15/?referrer_id=87b31e7d-4508-41d1-95ff-fdb59b9d4669,Dog,Chihuahua,FALSE,Black,Adult,Female,Small,Medium,TRUE,FALSE,TRUE,Lady Bugette,Belleville,NJ,7109
46033538,https://www.petfinder.com/dog/barbe-46033538/nj/belleville/friends-with-four-paws-ok15/?referrer_id=87b31e7d-4508-41d1-95ff-fdb59b9d4669,Dog,Chihuahua,FALSE,Red / Chestnut / Orange,Adult,Female,Small,Medium,TRUE,FALSE,TRUE,Barbe,Belleville,NJ,7109
46033360,https://www.petfinder.com/dog/rocket-46033360/nj/belleville/friends-with-four-paws-ok15/?referrer_id=87b31e7d-4508-41d1-95ff-fdb59b9d4669,Dog,Chihuahua,FALSE,Gray / Blue / Silver,Adult,Female,Small,Short,TRUE,FALSE,TRUE,Rocket,Belleville,NJ,7109
46031250,https://www.petfinder.com/dog/oliver-46031250/nj/butler/tri-boro-animal-welfare-nj08/?referrer_id=87b31e7d-4508-41d1-95ff-fdb59b9d4669,Dog,Chihuahua,TRUE,Apricot / Beige,Young,Male,Small,Short,TRUE,FALSE,TRUE,Oliver,Butler,NJ,7405
46030817,https://www.petfinder.com/dog/gus-46030817/nj/paramus/bonnies-animal-rescue-kingdom-nj627/?referrer_id=87b31e7d-4508-41d1-95ff-fdb59b9d4669,Dog,Beagle,TRUE,Brown / Chocolate,Young,Male,Medium,Short,TRUE,TRUE,TRUE,Gus,Paramus,NJ,7653
46026355,https://www.petfinder.com/dog/kaynen-46026355/nj/lyndhurst/2-hands-saving-4-paws-ga960/?referrer_id=87b31e7d-4508-41d1-95ff-fdb59b9d4669,Dog,Labrador Retriever,FALSE,Black,Baby,Male,Large,Short,TRUE,FALSE,TRUE,Kaynen,Lyndhurst,NJ,7071
46026344,https://www.petfinder.com/dog/lola-46026344/nj/lyndhurst/2-hands-saving-4-paws-ga960/?referrer_id=87b31e7d-4508-41d1-95ff-fdb59b9d4669,Dog,Irish Wolfhound,TRUE,Gray / Blue / Silver,Baby,Female,Large,Long,TRUE,FALSE,TRUE,Lola,Lyndhurst,NJ,7071
46026323,https://www.petfinder.com/dog/tim-46026323/nj/lyndhurst/2-hands-saving-4-paws-ga960/?referrer_id=87b31e7d-4508-41d1-95ff-fdb59b9d4669,Dog,Irish Wolfhound,TRUE,Gray / Blue / Silver,Baby,Male,Large,Long,TRUE,FALSE,TRUE,Tim,Lyndhurst,NJ,7071
